"DESCRICAO","CAUSAS"
"111  OUTRAS DERMATOMICOSES E NAO ESPECIFICADA","111"
"112  MONILIASE","112"
"114  COCCIDIOIDOMICOSE","114"
"115  HISTOPLASMOSE","115"
"116  INFECCAO BLASTOMICOTICA","116"
"117  OUTRAS MICOSES","117"
"118  MICOSES OPORTUNISTICAS","118"
"120  ESQUISTOSSOMIASE","120"
"121  OUTRAS INFESTACOES POR TREMATODEOS","121"
"122  EQUINOCOCOSE","122"
"123  OUTRAS INFESTACOES POR CESTOIDEOS","123"
"124  TRIQUINIASE","124"
"125  FILARIASE E DRACONTIASE","125"
"126  ANCILOSTOMIASE E NECATORIASE","126"
"127  OUTRAS HELMINTIASES INTESTINAIS","127"
"128  OUTRAS HELMINTIASES E NAO ESPECIFICADAS","128"
"129  PARASITOSE INTESTIN SEM OUT ESPECIFICAC","129"
"130  TOXOPLASMOSE","130"
"131  TRICOMONIASE","131"
"132  PEDICULOSE E INFESTACAO POR PHTHIRUS","132"
"133  ACARIASE","133"
"134  OUTRAS INFESTACOES","134"
"135  SARCOIDOSE","135"
"136  OUT DOEN INFECT E PARASIT E NAO ESPECIF","136"
"137  EFEITOS TARDIOS DA TUBERCULOSE","137"
"138  EFEITOS TARDIOS DA POLIOMIELITE AGUDA","138"
"139  EFEIT TARD OUT DOEN INFECC E PARASITAR","139"
"140  NEOPLASMA MALIGNO DO LABIO","140"
"141  NEOPLASMA MALIGNO DA LINGUA","141"
"142  NEOPL MALIG DAS GLANDULAS SALIV MAIORES","142"
"143  NEOPLASMA MALIGNO DA GENGIVA","143"
"144  NEOPLASMA MALIGNO DO ASSOALHO DA BOCA","144"
"145  NEOPL MALIG OUTRAS PARTES BOCA E NAO ESP","145"
"146  NEOPLASMA MALIGNO DA OROFARINGE","146"
"147  NEOPLASMA MALIGNO DA NASOFARINGE","147"
"148  NEOPLASMA MALIGNO DA HIPOFARINGE","148"
"149  NEOPL MAL OUT LOC E MAL DEF LAB BOC FARI","149"
"150  NEOPLASMA MALIGNO DO ESOFAGO","150"
"151  NEOPLASMA MALIGNO DO ESTOMAGO","151"
"152  NEOPL MALIG INTEST DELGADO INCL DUODENO","152"
"153  NEOPLASMA MALIGNO DO COLON","153"
"154  NEOPL MAL RETO JUNCAO RETO-SIGM E ANUS","154"
"155  NEOPL MALIG FIGADO V BILIARES INTRAHEPAT","155"
"156  NEOPL MALIG VES BIL E V BIL EXTRAHEPAT","156"
"157  NEOPLASMA MALIGNO DO PANCREAS","157"
"158  NEOPL MALIG RETROPERITONIO E PERITONIO","158"
"159  NEOPL M OUT LOC E MAL DEF ORG DIG E PER","159"
"160  NEOPL M FOSS NAS OUVID MED E SEIOS ASSES","160"
"161  NEOPLASMA MALIGNO DA LARINGE","161"
"162  NEOPL MALIG TRAQUEIA BRONQUIOS E PULMAO","162"
"163  NEOPLASMA MALIGNO DA PLEURA","163"
"164  NEOPL MALIG TIMO CORACAO E MEDIASTINO","164"
"165  NEOPL M OUT LOC E M DEF RESP E ORG INTRA","165"
"170  NEOPL MALIG OSSOS E CARTILAG ARTICULARES","170"
"171  NEOPL MALIG TEC CONJUNT E OUT TEC MOLES","171"
"172  MELANOMA MALIGNO DA PELE","172"
"173  OUTROS NEOPLASMAS MALIGNOS DA PELE","173"
"174  NEOPLASMA MALIGNO DA MAMA FEMININA","174"
"175  NEOPLASMA MALIGNO DA MAMA MASCULINA","175"
"179  NEOPL MALIG DO UTERO PORCAO NAO ESPECIF","179"
"180  NEOPLASMA MALIGNO DO COLO DO UTERO","180"
"181  NEOPLASMA MALIGNO DA PLACENTA","181"
"182  NEOPLASMA MALIGNO DO CORPO DO UTERO","182"
"183  NEOPL MALIG DO OVARIO E OUT ANEXOS UTERO","183"
"184  NEOPL MALIG OUT ORG GENIT FEMIN E N ESP","184"
"185  NEOPLASMA MALIGNO DA PROSTATA","185"
"186  NEOPLASMA MALIGNO DO TESTICULO","186"
"187  NEOPL MALIG PENIS OUT ORG GENIT MASCULIN","187"
"188  NEOPLASMA MALIGNO DA BEXIGA URINARIA","188"
"189  NEO MAL RIM OUT ORG URINAR E NAO ESPECIF","189"
"190  NEOPLASMA MALIGNO DO OLHO","190"
"191  NEOPLASMA MALIGNO DO ENCEFALO","191"
"192  NEOPL MAL OUT PART E N ESPEC SIST NERV","192"
"193  NEOPASMA MALIGNO DA GLANDULA TIREOIDE","193"
"194  NEO MAL OUT GLAND ENDOCR E ESTRUT CORREL","194"
"195  NEOPL MALIG OUT LOCALIZ E MAL DEFINIDAS","195"
"199  NEOPL MALIG SEM ESPECIFICACAO DE LOCAL","199"
"200  LINFO E RETICULOSSARCOMA","200"
"201  DOENCA DE HODGKIN","201"
"202  OUT NEOPL MALIG TEC LINFOIDE E HISTIOCIT","202"
"203  MIELOMA MULTIP E NEOP IMUNOPROLIFERATIV","203"
"204  LEUCEMIA LINFOIDE","204"
"205  LEUCEMIA MIELOIDE","205"
"206  LEUCEMIA MONOCITICA","206"
"207  OUTRAS LEUCEMIAS ESPECIFICADAS","207"
"208  LEUCEMIAS TIPO CELULAR NAO ESPECIFICADAS","208"
"210  NEOPLASMA BENIGNO LABIO BOCA E FARINGE","210"
"211  NEOPL BENIG OUT PARTES APAR DIGESTIVO","211"
"212  NEOPL BENIG ORG RESPIRATOS E INTRATORAC","212"
"213  NEOPL BENIG OSSOS E CARTILAG ARTICULARES","213"
"214  LIPOMA","214"
"215  OUT NEO BENIG TEC CONJ E OUT TECIDOS MOL","215"
"216  NEOPLASMA BENIGNO DA PELE","216"
"217  NEOPLASMA BENIGNO DA MAMA","217"
"218  LEIOMIOMA UTERINO","218"
"219  OUTROS NEOPLASMAS BENIGNOS DO UTERO","219"
"220  NEOPLASMA BENIGNO DO OVARIO","220"
"221  NEOPL BENIG OUT ORG GENITAIS FEMININOS","221"
"222  NEOPL BENIG ORG GENITAIS MASCULINOS","222"
"223  NEOPL BENIG RIM OUT ORG APAREL URINARIO","223"
"224  NEOPLASMA BENIGNO DO OLHO","224"
"225  NEOPL BENIG ENCEFALO OUT PART SIST NERV","225"
"226  NEOPLASMA BENIGNO DA GLANDULA TIREOIDE","226"
"227  NEO BEN OUT GLAND ENDOC E ESTRUT CORREL","227"
"228  HEMANGIOMA LINFANGIOM QUALQUER LOCALIZ","228"
"229  NEOPL BENIG OUT LOCALIZ E NAO ESPECIF","229"
"230  CARCINOMA IN SITU ORGAOS DIGESTIVOS","230"
"231  CARCINOMA IN SITU APARELHO RESPIRATORIO","231"
"232  CARCINOMA IN SITU DA PELE","232"
"233  CARCINOMA IN SITU MAMA E APAR GENITURIN","233"
"234  CARCINOMA IN SITU OUT LOCAL E NAO ESPEC","234"
"235  NEOPL COMPORT INCERT AP DIG E RESPIRATOR","235"
"236  NEOPL COMPORT INCERTO ORG GENITURINARIOS","236"
"237  NEO COMPORT INCERT GLAN ENDOC E S NERVOS","237"
"238  NEO COMP INCERT OUT LOC E TEC E NAO ESP","238"
"239  NEOPLASMA DE NATUREZA NAO ESPECIFICADA","239"
"240  BOCIO SIMPLES OU NAO ESPECIFICADO","240"
"241  BOCIO NODULAR NAO TOXICO","241"
"242  TIREOTOXICOSE COM OU SEM BOCIO","242"
"243  HIPOTIREOIDISMO CONGENITO","243"
"244  HIPOTIREOIDISMO ADQUIRIDO","244"
"245  TIREOIDITE","245"
"246  OUTROS TRANSTORNOS DA TIREOIDE","246"
"250  DIABETES MELLITUS","250"
"251  OUT TRANST SECRECAO PANCREATICA INTERNA","251"
"252  TRANSTORNOS DAS GLANDULAS PARATIREOIDES","252"
"253  TRANST HIPOFISE E CONTROLE HIPOTALAMICO","253"
"254  DOENCAS DO TIMO","254"
"255  TRANSTORNOS DAS GLANDULAS SUPRA-RENAIS","255"
"256  DISFUNCAO OVARIANA","256"
"257  DISFUNCAO TESTICULAR","257"
"258  DISF POLIGLANDULAR E TRANST CORRELATOS","258"
"259  OUTROS TRANSTORNOS ENDOCRINOS","259"
"260  KWASHIORKOR","260"
"261  MARASMO NUTRICIONAL","261"
"262  OUT FORMAS DESNUTRIC PROT-CALORICAS GRAV","262"
"263  OUT TIPOS DESNUTRIC PROT-CAL E NAO ESPEC","263"
"264  DEFICIENCIA DE VITAMINA A","264"
"265  DEFICIENCIA DE TIAMINA E NIACINA","265"
"266  DEFICIENCIA DE COMPONENTES DO COMPLEXO B","266"
"267  DEFICIENCIA DE ACIDO ASCORBICO","267"
"268  DEFICIENCIA DE VITAMINA D","268"
"269  OUTRAS DEFICIENCIAS NUTRICIONAIS","269"
"270  TRANSTORN TRANSP E METABOL AMINOACIDOS","270"
"271  TRANST TRANSPORT E METABOL CARBOHIDRATOS","271"
"272  TRANSTORNOS DO METABOLISMO DOS LIPIDEOS","272"
"273  TRANSTORN METABOL PROTEINAS PLASMATICAS","273"
"274  GOTA","274"
"275  TRANSTORNOS DO METABOLISMO DOS MINERAIS","275"
"276  TRANST EQUIL HIDROELETROL E ACIDO-BASICO","276"
"277  OUTROS TRANST METABOLISMO E OS NAO ESPEC","277"
"278  OBESIDADE E OUT FORMAS HIPERALIMENTACAO","278"
"279  TRANST ENVOLVENDO MECANISMO IMUNITARIO","279"
"280  ANEMIAS POR DEFICIENCIENCIAS DE FERRO","280"
"281  OUTRAS ANEMIAS POR DEFICIENCIA","281"
"282  ANEMIAS HEMOLITICAS HEREDITARIAS","282"
"283  ANEMIAS HEMOLITICAS ADQUIRIDAS","283"
"284  ANEMIA APLASTICA","284"
"285  OUTRAS ANEMIAS E AS NAO ESPECIFICADAS","285"
"286  DEFEITOS DA COAGULACAO","286"
"287  PURPURA E OUTRAS AFECCOES HEMORRAGICAS","287"
"288  DOENCAS DOS LEUCOCITOS","288"
"289  OUT DOENCAS SANGUE E ORGAOS HEMATOPOEIC","289"
"290  QUADR PSICOTIC ORGANIC SENIS E PRE-SENIS","290"
"291  PSICOSES ALCOOLICAS","291"
"292  PSICOSES POR DROGAS","292"
"293  QUADROS PSICOTICOS ORGANICOS TRANSITOR","293"
"294  OUTROS QUADROS PSICOTICOS ORGANICOS","294"
"295  PSICOSES ESQUIZOFRENICAS","295"
"296  PSICOSES AFETIVAS","296"
"297  ESTADOS PARANOIDES","297"
"298  OUTRAS PSICOSES NAO ORGANICAS","298"
"299  PSICOSES ESPECIFICAS DA INFANCIA","299"
"300  TRANSTORNOS NEUROTICOS","300"
"301  TRANSTORNOS DA PERSONALIDADE","301"
"302  DESVIOS E TRANSTORNOS SEXUAIS","302"
"303  SINDROME DA DEPENDENCIA DO ALCOOL","303"
"304  DEPENDENCIA DE DROGAS","304"
"305  ABUSO DE DROGAS SEM DEPENDENCIA","305"
"306  DISFUNCOES FISIOLOG ORIG FATORES MENTAIS","306"
"307  SINDROMES E SINTOMAS ESPECIAIS NCOP","307"
"308  REACAO AGUDA AO STRESS","308"
"309  REACAO DE AJUSTAMENTO","309"
"310  TRANST MENT N PSIC CONSEC LES ORG CEREB","310"
"311  TRANSTORNOS DEPRESSIVOS NCOP","311"
"312  DISTURBIOS DO COMPORTAMENTO NCOP","312"
"313  DIST EMOCOES ESPECIF INFANCIA E ADOLESC","313"
"314  SINDROME HIPERCINETICA DA INFANCIA","314"
"317  OLIGOFRENIA LEVE","317"
"318  OUTRAS OLIGOFRENIAS ESPECIFICADAS","318"
"319  OLIGOFRENIA NAO ESPECIFICADA","319"
"320  MENINGITE BACTERIANA","320"
"322  MENINGITE DE CAUSA NAO ESPECIFICADA","322"
"323  ENCEFALITE MIELITE E ENCEFALOMIELITE","323"
"324  ABSCESSOS INTRACRANIANOS INTRA-RAQUIDIAN","324"
"325  FLEBIT TROMBOFLEB SEIOS VEN INTRACRANIAN","325"
"326  EF TARD ABSCES OU INFEC PIOGEN INTRACR","326"
"330  DEGEN CEREB GERALM MANIFESTAM NA INFANC","330"
"331  OUTRAS DEGENERACOES CEREBRAIS","331"
"332  DOENCA DE PARKINSON","332"
"333  OUT D SIST EXTRAPIR TRANST DA MOTRICIDAD","333"
"334  DOENCAS ESPINOCEREBELARES","334"
"335  DOENCAS CELULAS CORNO ANTERIOR DA MEDULA","335"
"336  OUTRAS DOENCAS DA MEDULA ESPINHAL","336"
"337  TRANSTORNOS DO SISTEMA NERVOSO AUTONOMO","337"
"340  ESCLEROSE MULTIPLA","340"
"341  OUT DOENC DESMIELINIZANT SIST NERV CENTR","341"
"342  HEMIPLEGIA","342"
"343  PARALISIA CEREBRAL INFANTIL","343"
"344  OUTRAS SINDROMES PARALITICAS","344"
"345  EPILEPSIA","345"
"346  ENXAQUECA","346"
"347  CATALEPSIA E NARCOLEPSIA","347"
"348  OUTRAS AFECCOES DO CEREBRO","348"
"349  OUT TRANST SISTEMA NERV E OS NAO ESPECIF","349"
"350  TRANSTORNOS DO NERVO TRIGEMEO","350"
"351  TRANSTORNOS DO NERVO FACIAL","351"
"352  TRANSTORNOS DE OUTROS NERVOS CRANIANOS","352"
"353  TRANSTORNOS DAS RAIZES E PLEXOS NERVOSOS","353"
"354  MONONEURITE MEMB SUPER E MONONEUR MULTIP","354"
"355  MONONEURITE MEMBRO INFERIOR","355"
"356  NEUROPAT PERIF HEREDITAR E IDIOPATICAS","356"
"357  NEUROPATIAS INFLAMATORIAS E TOXICAS","357"
"358  TRANSTORNOS NEUROMUSCULARES","358"
"359  DISTROFIAS MUSCULARES E OUT MIOPATIAS","359"
"360  TRANSTORNOS DO GLOBO OCULAR","360"
"361  DESCOLAMENTO E DEFEITOS DA RETINA","361"
"362  OUTROS TRANSTORNOS DA RETINA","362"
"363  INFLAM E CICATR CORIORRET E TRANS COROID","363"
"364  TRANSTORNOS DA IRIS E DO CORPO CILIAR","364"
"365  GLAUCOMA","365"
"366  CATARATA","366"
"367  TRANSTORNOS DA REFRACAO E DA ACOMODACAO","367"
"370  CERATITE","370"
"371  OPACIDADE E OUTROS TRANSTORNOS DA CORNEA","371"
"372  TRANSTORNOS DA CONJUNTIVA","372"
"373  INFLAMACAO DAS PALPEBRAS","373"
"374  OUTROS TRANSTORNOS DAS PALPEBRAS","374"
"375  TRANSTORNOS DO APARELHO LACRIMAL","375"
"376  TRANSTORNOS DA ORBITA","376"
"377  TRANST NERVO OPTICO E DAS VIAS OPTICAS","377"
"378  ESTRAB E OUT TRANST MOVIMENT BINOCULARES","378"
"379  OUTROS TRANSTORNOS DO OLHO","379"
"380  TRANSTORNOS DO OUVIDO EXTERNO","380"
"381  OTIT MEDIA N SUP TRANST TROMPA EUSTAQUIO","381"
"382  OTITE MEDIA SUPURATIVA E NAO ESPECIFICAD","382"
"383  MASTOIDITE E AFECCOES CORRELATAS","383"
"384  OUT TRANSTORNOS DA MEMBRANA DO TIMPANO","384"
"385  OUT TRANST OUVIDO MEDIO E DA MASTOIDE","385"
"386  SIND VERTIG OUT TRANST SIST VESTIBULAR","386"
"387  OTOSCLEROSE","387"
"388  OUTROS TRANSTORNOS DO OUVIDO","388"
"390  FEBRE REUMATICA S MENC COMPROM CARDIACO","390"
"391  FEBRE REUMATICA COM COMPROMETIM CARDIACO","391"
"392  COREIA REUMATICA","392"
"393  PERICARDITE REUMATICA CRONICA","393"
"394  DOENCAS DA VALVULA MITRAL","394"
"395  DOENCAS DA VALVULA AORTICA","395"
"396  DOENCAS DAS VALVULAS MITRAL E AORTICA","396"
"397  DOENCAS DE OUTRAS ESTRUTURAS ENDOCARDIO","397"
"398  OUTRAS DOENCAS REUMATICAS DO CORACAO","398"
"401  HIPERTENSAO ESSENCIAL","401"
"402  DOENCA CARDIACA HIPERTENSIVA","402"
"403  DOENCA RENAL HIPERTENSIVA","403"
"404  DOENCA CARDIORRENAL HIPERTENSIVA","404"
"410  INFARTO AGUDO DO MIOCARDIO","410"
"411  OUT FORM AGUD E SUBAG DOENC ISQUEM COR","411"
"412  INFARTO ANTIGO DO MIOCARDIO","412"
"413  ANGINA DO PEITO","413"
"414  OUT FORMAS DOENCA ISQUEMICA CRONICA COR","414"
"415  DOENCA PULMONAR AGUDA DO CORACAO","415"
"416  DOENCA PULMONAR CRONICA DO CORACAO","416"
"417  OUTRAS DOENCAS DA CIRCULACAO PULMONAR","417"
"420  PERICARDITE AGUDA","420"
"421  ENDOCARDITE AGUDA E SUBAGUDA","421"
"422  MIOCARDITE AGUDA","422"
"423  OUTRAS DOENCAS DO PERICARDIO","423"
"424  OUTRAS DOENCAS DO ENDOCARDIO","424"
"425  CARDIOMIOPATIAS","425"
"426  TRANSTORNOS DA CONDUCAO","426"
"427  ARRITMIAS CARDIACAS","427"
"428  INSUFICIENCIA CARDIACA","428"
"429  DENOM COMPLIC MAL DEF DE DOENC DO CORAC","429"
"430  HEMORRAGIA SUBARACNOIDIANA","430"
"431  HEMORRAGIA INTRACEREBRAL","431"
"432  OUT HEMORR INTRACRANIANAS E NAO ESPECIF","432"
"433  ESTENOSE E OCLUS ARTERIAS PRE-CEREBRAIS","433"
"434  OCLUSAO DAS ARTERIAS CEREBRAIS","434"
"435  ISQUEMICA CEREBRAL TRANSITORIA","435"
"436  DOENCA CEREBROVASCULAR AGUDA MAL DEF","436"
"437  OUT DOENC CEREBROVASCULARES E AS MAL DEF","437"
"438  EFEITOS TARDIOS DOENCA CEREBROVASCULAR","438"
"440  ATEROSCLEROSE","440"
"441  ANEURISMA AORTICO","441"
"442  OUTROS ANEURISMAS","442"
"443  OUTRAS DOENCAS VASCULARES PERIFERICAS","443"
"444  EMBOLIA E TROMBOSE ARTERIAIS","444"
"446  POLIARTERITE NODOSA E OUT DOENCAS AFINS","446"
"447  OUTRAS DOENCAS DE ARTERIAS E ARTERIOLAS","447"
"448  DOENCAS DOS CAPILARES","448"
"451  FLEBITE E TROMBOFLEBITE","451"
"452  TROMBOSE DA VEIA PORTA","452"
"453  OUTRAS EMBOLIAS E TROMBOSES VENOSAS","453"
"454  VARIZES DAS EXTREMIDADES INFERIORES","454"
"455  HEMORROIDAS","455"
"456  VARIZES DE OUTRAS LOCALIZACOES","456"
"457  TRANSTORNOS NAO INFECCIOSOS DOS LINFATIC","457"
"458  HIPOTENSAO","458"
"459  OUTROS TRANSTORNOS DO APAR CIRCULATORIO","459"
"460  NASOFARINGITE AGUDA (RESFRIADO COMUM)","460"
"461  SINUSITE AGUDA","461"
"462  FARINGITE AGUDA","462"
"463  AMIGDALITE AGUDA","463"
"464  LARINGITE E TRAQUEITE AGUDAS","464"
"465  INFEC AGUD V RESPIR SUP LOC MULT OU N ES","465"
"466  BRONQUITE E BRONQUIOLITE AGUDAS","466"
"470  DESVIO DO SEPTO NASAL","470"
"471  POLIPOS NASAIS","471"
"472  FARINGITE E NASOFARINGITE CRONICAS","472"
"473  SINUSITE CRONICA","473"
"474  DOENCA CRONICA AMIGDALAS E ADENOIDES","474"
"475  ABSCESSO PERIAMIGDALIANO","475"
"476  LARINGITE CRONICA E LARINGOTRAQUEITE","476"
"477  RINITE ALERGICA","477"
"478  OUT DOEN VIAS RESPIRATORIAS SUPERIORES","478"
"480  PNEUMONIA VIRAL","480"
"481  PNEUMONIA PNEUMOCOCICA","481"
"482  OUTRAS PENUEMONIAS BACTERIANAS","482"
"483  PNEUMONIA OUT MICRORGANISMOS ESPECIFICAD","483"
"485  BRONCOPNEUMONIA MICROORGAN NAO ESPECIFIC","485"
"486  PNEUMONIA MICROORGANISMO NAO ESPECIFICAD","486"
"487  GRIPE","487"
"490  BRONQUITE NAO ESPECIF SE AGUDA OU CRONIC","490"
"491  BRONQUITE CRONICA","491"
"492  ENFISEMA","492"
"493  ASMA","493"
"494  BRONQUECTASIA","494"
"495  ALVEOLITE ALERGICA EXTRINSECA","495"
"496  OBSTUCAO CRONICA VIAS RESPIRATORIAS NCOP","496"
"500  PNEUMOCONIOSE TRABALHADORES EM CARVAO","500"
"501  ASBESTOSE","501"
"502  PNEUMOCONIOSE DEV OUT SILICAS E SILICATO","502"
"503  PNEUMOCONIOSE DEV OUT POEIRAS INORGANIC","503"
"504  PNEUMOPATIA DEVIDO INALACAO OUT POEIRAS","504"
"505  PNEUMOCONIOSE NAO ESPECIFICADA","505"
"506  AFEC RESPIR DEV FUMACA GAS VAPORES QUIM","506"
"507  PNEUMONITE DEVIDA A SOLIDOS E LIQUIDOS","507"
"508  AFEC RESP DEV OUT AGENT EXT E NAO ESPEC","508"
"510  EMPIEMA","510"
"511  PLEURIS","511"
"512  PNEUMOTORAX","512"
"513  ABSCESSO DO PULMAO E MEDIASTINO","513"
"514  CONGESTAO E HIPOSTASE PULMONARES","514"
"515  FIBROSE PULMONAR POS-INFLAMATORIA","515"
"516  OUT PNEUMOPAT ALVEOLARES E PARIETALVEOL","516"
"518  OUTRAS DOENCAS DO PULMAO","518"
"519  OUTRAS DOENCAS DO APARELHO RESPIRATORIO","519"
"520  TRANST DESENVOLV E DA ERUPCAO DOS DENTES","520"
"521  DOENCAS DOS TECIDOS DENTARIOS DUROS","521"
"522  DOENCAS DA POLPA E TECIDOS PERIAPICAIS","522"
"523  DOENCAS GENGIVAIS E PERIODONTAIS","523"
"524  ANOMAL DENTOFACIAIS INCLUSIVE MALOCLUSAO","524"
"525  OUT DOENC E AFECC DENTES E ESTRUT SUSTEN","525"
"526  DOENCAS DAS MANDIBULAS","526"
"527  DOENCAS DAS GLANDULAS SALIVARES","527"
"528  DOENC TEC MOL BOC EXC LES GENGIV E LING","528"
"529  DOENCAS E OUTRAS AFECCOES DA LINGUA","529"
"530  DOENCAS DO ESOFAGO","530"
"531  ULCERA GASTRICA","531"
"532  ULCERA DUODENAL","532"
"533  ULCERA PEPTICA LOCALIZ NAO ESPECIFICADA","533"
"534  ULCERA GASTROJEJUNAL","534"
"535  GASTRITE E DUODENITE","535"
"536  TRANSTORNOS DA FUNCAO GASTRICA","536"
"537  OUT TRANSTORNOS DO ESTOMAGO E DO DUODENO","537"
"540  APENDICITE AGUDA","540"
"541  APENDICITE NAO ESPECIFICADA","541"
"542  OUTRAS FORMAS DE APENDICITE","542"
"543  OUTRAS DOENCAS DO APENDICE","543"
"550  HERNIA INGUINAL","550"
"551  OUT HERNIAS CAVID ABDOMINAL COM GANGRENA","551"
"552  OUT HERN CAVID ABD C OBSTR S MENC GANGR","552"
"553  OUT HERN CAV ABDON S MENC OBSTR OU GANGR","553"
"555  ENTERITE REGIONAL","555"
"556  PROCTOCOLITE IDIOPATICA","556"
"557  INSUFICIENCIA VASCULAR DO INTESTINO","557"
"558  OUT GASTROENTERITES E COLITES NAO INFEC","558"
"560  OBSTRUCAO INTESTIN SEM MENCAO DE HERNIA","560"
"562  DIVERTICULOS DO INTESTINO","562"
"564  TRANSTORNOS DIGESTIVOS FUNCIONAIS NCOP","564"
"565  FISSURA E FISTULA ANAL","565"
"566  ABSCESSO DAS REGIOES ANAL E RETAL","566"
"567  PERITONITE","567"
"568  OUTRAS AFECCOES DO PERITONIO","568"
"569  OUTRAS AFECCOES DO INTESTINO","569"
"570  NECROSE AGUDA E SUBAGUDA DO FIGADO","570"
"571  DOENCA CRONICA DO FIGADO E CIRROSE","571"
"572  ABSCESS FIGAD SEQUELA DOENCA HEPAT CRON","572"
"573  OUTROS TRANSTORNOS DO FIGADO","573"
"574  COLELITIASE","574"
"575  OUTROS TRANSTORNOS DA VESICULA BILIAR","575"
"576  OUTROS TRANSTORNOS DO TRATO BILIAR","576"
"577  DOENCAS DO PANCREAS","577"
