"DESCRICAO","CAUSAS"
"30 OUTRAS DOENCAS DO APARELHO CIRCULATORIO","440-459"
"300 ATEROSCLEROSE","440"
"31 DOENCAS DO TRATO RESPIRATORIO SUPERIOR","460-465,470-478"
"316 CERTAS INFECCOES RESPIRATORIAS AGUDAS","460-465"
"32 OUTRAS DOENCAS DO APARELHO RESPIRATORIO","466,480-519"
"320 BRONQUITE BRONQUIOLITES AGUDAS","466"
"321 PNEUMONIA","480-486"
"322 GRIPE","487"
"323 BRONQUITE CRONICA E N ESPEC ENFISEMA E ASMA","490-493"
"326.1 PNEUMOCOC E CERTAS D DEVIDAS A AGENT EXT","500-506,508"
"326.2 PNEUMONITE DEVIDA A SOLIDOS E LIQUIDOS","507"
"33-34 DOENCAS DO APARELHO DIGESTIVO","520-579"
"341 ULCERA DO ESTOMAGO E DO DUODENO","531-533"
"342 APENDICITE","540-543"
"343 HERNIA DA CAVIDADE ABDOMINAL","550-553"
"344 OBSTRUCAO INTESTINAL SEM MENCAO DE HERNIA","560"
"347 DOENCA CRONICA DO FIGADO E CIRROSE","571"
"35 DOENCAS DO APRELHO URINARIO","580-599"
"350 NEFRITE SINDROME NEFROTICA E NEFROSE","580-589"
"36 DOENCAS DOS ORGAOS GENITAIS MASCULINOS","600-608"
"360 HIPERPLASIA DA PROSTATA","600"
"37 DOENCAS DOS ORGAOS GENETAIS FEMININOS","610-629"
"38 ABORTO","630-639"
"39 CAUSAS OBSTETRICAS DIRETAS","640-646,651-676"
"40 CAUSAS OBSTETRICAS INDIRETAS","647-648"
"42 DOENCAS DA PELE E DO TECIDO CELULAR SUBCUTANEO","680-709"
"43 DOENCAS DO SIST OSTEOMUSCULAR E DO TECIDO CONJ","710-739"
"44 ANOMALIAS CONGENITAS","740-759"
"440 E 441 ANOMALIAS CONGENITAS DO SIST NERVOSO","740-742"
"442 ANOMAL CONGENIT DO CORACAO E DO AP CIRCULAT","745-747"
"443 FISSURA ABOBADA PALATINA E LABIO LEPORINO","749"
"45 AFECCOES ORIGINADAS NO PERIODO PERINATAL","760-779"
"452 CRESC FETAL RETARDADO MALNUTR FET E PREMAT","764-765"
"453 TRAUMA DE PARTO","767"
"454 HIPOXIA ASFIXIA AO NASCER E OUT AFEC RESP","768-770"
"455 DOENCA HEMOLITICA DO FETO OU DO RECEM NASC","773"
"456 TETANO NEONATAL","771.3"
"46 SINAIS SINTOMAS E AFECCOES MAL DEFINIDAS","780-799"
"461 SINTOMAS RELACIONADOS APAR CARDIOVASCULAR","785"
"465 SENILIDADE SEM MENCAO DE PSICOSE","797"
"E47 ACIDENTES DE TRANSPORTE","800-848"
"E471 ACIDENTES DE TRANSITO DE VEICULO A MOTOR","810-819"
"E48-E49 ENVEN ACID E ACIDENT PROV PACIEN DUR PROC","850-879"
"E50 QUEDAS ACIDENTAIS","880-888"
"E51 ACIDENTES CAUSADOS POR FOGO E CHAMA","890-899"
"E52-E53 OUT ACID INCL EFEIT TARD E EFET ADVER DROG","900-949"
"E521 AFOGAMENTO E SUBMERSAO ACIDENTAIS","910"
"E525 ALIM E OBJET CAUS OBSTRUC DO TRATO RESPIR","911-913"
"E526 ACIDENTES CAUSADOS PELA CORRENTE ELETRICA","925"
"E54 SUICIDIOS E LESOES AUTO INFLIGIDAS","950-959"
"E55 HOMICIDIOS E LESOES PROVOCADAS INTENCIONALMENT","960-969"
"E56 OUTRAS VIOLENCIAS","970-999"
