"MUNICIPIO","DESCRICAO","REGIAO"
"2305001","GUARACIABA DO NORTE","062"
"2305100","GUARAMIRANGA","065"
"2305209","HIDROLANDIA","064"
"2305233","HORIZONTE","060"
"2305266","IBARETAMA","068"
"2305308","IBIAPINA","062"
"2305332","IBICUITINGA","061"
"2305357","ICAPUI","061"
"2305407","ICO","074"
"2305506","IGUATU","073"
"2305605","INDEPENDENCIA","067"
"2305654","IPAPORANGA","066"
"2305704","IPAUMIRIM","074"
"2305803","IPU","063"
"2305902","IPUEIRAS","066"
"2306009","IRACEMA","071"
"2306108","IRAUCUBA","058"
"2306207","ITAICABA","061"
"2306256","ITAITINGA",""
"2306306","ITAPAGE","058"
"2306405","ITAPIPOCA","058"
"2306504","ITAPIUNA","065"
"2306553","ITAREMA","056"
"2306603","ITATIRA","068"
"2306702","JAGUARETAMA","070"
"2306801","JAGUARIBARA","070"
"2306900","JAGUARIBE","070"
"2307007","JAGUARUANA","061"
"2307106","JARDIM","078"
"2307205","JATI","076"
"2307254","JIJOCA DE JERICOACOARA",""
"2307304","JUAZEIRO DO NORTE","078"
"2307403","JUCAS","073"
"2307502","LAVRAS DA MANGABEIRA","074"
"2307601","LIMOEIRO DO NORTE","061"
"2307635","MADALENA","068"
"2307650","MARACANAU","059"
"2307700","MARANGUAPE","059"
"2307809","MARCO","056"
"2307908","MARTINOPOLE","056"
"2308005","MASSAPE","063"
"2308104","MAURITI","076"
"2308203","MERUOCA","063"
"2308302","MILAGRES","076"
"2308351","MILHA","069"
"2308377","MIRAIMA","058"
"2308401","MISSAO VELHA","078"
"2308500","MOMBACA","069"
"2308609","MONSENHOR TABOSA","067"
"2308708","MORADA NOVA","061"
"2308807","MORAUJO","063"
"2308906","MORRINHOS","057"
"2309003","MUCAMBO","063"
"2309102","MULUNGU","065"
"2309201","NOVA OLINDA","077"
"2309300","NOVA RUSSAS","066"
"2309409","NOVO ORIENTE","067"
"2309458","OCARA","065"
"2309508","OROS","073"
"2309607","PACAJUS","060"
"2309706","PACATUBA","059"
"2309805","PACOTI","065"
"2309904","PACUJA","063"
"2310001","PALHANO","061"
"2310100","PALMACIA","065"
"2310209","PARACURU","058"
"2310258","PARAIPABA","058"
"2310308","PARAMBU","072"
"2310407","PARAMOTI","064"
"2310506","PEDRA BRANCA","069"
"2310605","PENAFORTE","076"
"2310704","PENTECOSTE","058"
"2310803","PEREIRO","071"
"2310852","PINDORETAMA","060"
"2310902","PIQUET CARNEIRO","069"
"2310951","PIRES FERREIRA","063"
"2311009","PORANGA","066"
"2311108","PORTEIRAS","076"
"2311207","POTENGI","077"
"2311231","POTIRETAMA","071"
"2311264","QUITERIANOPOLIS","067"
"2311306","QUIXADA","068"
"2311355","QUIXELO","073"
"2311405","QUIXERAMOBIM","068"
"2311504","QUIXERE","061"
"2311603","REDENCAO","065"
"2311702","RERIUTABA","063"
"2311801","RUSSAS","061"
"2311900","SABOEIRO","072"
"2311959","SALITRE","077"
"2312007","SANTANA DO ACARAU","057"
"2312106","SANTANA DO CARIRI","077"
"2312205","SANTA QUITERIA","064"
"2312304","SAO BENEDITO","062"
"2312403","SAO GONCALO DO AMARANTE","058"
"2312502","SAO JOAO DO JAGUARIBE","061"
"2312601","SAO LUIS DO CURU","058"
"2312700","SENADOR POMPEU","069"
"2312809","SENADOR SA","057"
"2312908","SOBRAL","063"
"2313005","SOLONOPOLE","069"
"2313104","TABULEIRO DO NORTE","061"
"2313203","TAMBORIL","067"
"2313252","TARRAFAS","075"
"2313302","TAUA","072"
"2313351","TEJUCUOCA","058"
"2313401","TIANGUA","062"
"2313500","TRAIRI","058"
"2313559","TURURU","058"
"2313609","UBAJARA","062"
"2313708","UMARI","074"
"2313757","UMIRIM","058"
"2313807","URUBURETAMA","058"
"2313906","URUOCA","057"
"2313955","VARJOTA","063"
"2314003","VARZEA ALEGRE","075"
"2314102","VICOSA DO CEARA","062"
"2400000","RIO GRANDE DO NORTE - IGNORADO",""
"2400109","ACARI","086"
"2400208","ACU","081"
"2400307","AFONSO BEZERRA","082"
"2400406","AGUA NOVA","085"
"2400505","ALEXANDRIA","085"
"2400604","ALMINO AFONSO","085"
"2400703","ALTO DO RODRIGUES","079"
"2400802","ANGICOS","082"
"2400901","ANTONIO MARTINS","085"
"2401008","APODI","081"
"2401107","AREIA BRANCA","079"
"2401206","ARES","084"
"2401305","AUGUSTO SEVERO","081"
"2401404","BAIA FORMOSA","084"
"2401453","BARAUNA","079"
"2401503","BARCELONA","087"
"2401602","BENTO FERNANDES","083"
"2401701","BOM JESUS","088"
"2401800","BREJINHO","088"
"2401909","CAICARA DO RIO DO VENTO","083"
"2402006","CAICO","086"
"2402105","CAMPO REDONDO","087"
"2402204","CANGUARETAMA","084"
"2402303","CARAUBAS","081"
"2402402","CARNAUBA DOS DANTAS","086"
"2402501","CARNAUBAIS","079"
"2402600","CEARA-MIRIM","084"
"2402709","CERRO CORA","086"
"2402808","CORONEL EZEQUIEL","087"
"2402907","CORONEL JOAO PESSOA","085"
"2403004","CRUZETA","086"
"2403103","CURRAIS NOVOS","086"
"2403202","DOUTOR SEVERIANO","085"
"2403251","PARNAMIRIM","084"
"2403301","ENCANTO","085"
"2403400","EQUADOR","086"
"2403509","ESPIRITO SANTO","084"
"2403608","EXTREMOZ","084"
"2403707","FELIPE GUERRA","081"
"2403806","FLORANIA","086"
"2403905","FRANCISCO DANTAS","085"
"2404002","FRUTUOSO GOMES","085"
"2404101","GALINHOS","080"
"2404200","GOIANINHA","084"
"2404309","GOVERNADOR DIX-SEPT ROSADO","081"
"2404408","GROSSOS","079"
"2404507","GUAMARE","079"
"2404606","IELMO MARINHO","088"
"2404705","IPANGUACU","081"
"2404804","IPUEIRA","086"
"2404903","ITAU","081"
"2405009","JACANA","087"
"2405108","JANDAIRA","083"
"2405207","JANDUIS","081"
"2405306","JANUARIO CICCO","088"
"2405405","JAPI","087"
"2405504","JARDIM DE ANGICOS","083"
"2405603","JARDIM DE PIRANHAS","086"
"2405702","JARDIM DO SERIDO","086"
"2405801","JOAO CAMARA","083"
"2405900","JOAO DIAS","085"
"2406007","JOSE DA PENHA","085"
"2406106","JUCURUTU","086"
"2406205","LAGOA D'ANTA","088"
"2406304","LAGOA DE PEDRAS","088"
"2406403","LAGOA DE VELHOS","087"
"2406502","LAGOA NOVA","086"
"2406601","LAGOA SALGADA","088"
"2406700","LAJES","083"
"2406809","LAJES PINTADAS","087"
"2406908","LUCRECIA","085"
"2407005","LUIS GOMES","085"
"2407104","MACAIBA","084"
"2407203","MACAU","079"
"2407302","MARCELINO VIEIRA","085"
"2407401","MARTINS","085"
"2407500","MAXARANGUAPE","084"
"2407609","MESSIAS TARGINO","085"
"2407708","MONTANHAS","088"
"2407807","MONTE ALEGRE","088"
"2407906","MONTE DAS GAMELEIRAS","087"
"2408003","MOSSORO","079"
"2408102","NATAL","084"
"2408201","NISIA FLORESTA","084"
"2408300","NOVA CRUZ","088"
"2408409","OLHO-D'AGUA DO BORGES","085"
"2408508","OURO BRANCO","086"
"2408607","PARANA","085"
"2408706","PARAU","081"
"2408805","PARAZINHO","083"
"2408904","PARELHAS","086"
"2409100","PASSA E FICA","088"
"2409209","PASSAGEM","088"
"2409308","PATU","085"
"2409407","PAU DOS FERROS","085"
"2409506","PEDRA GRANDE","080"
"2409605","PEDRA PRETA","083"
"2409704","PEDRO AVELINO","082"
"2409803","PEDRO VELHO","084"
"2409902","PENDENCIAS","079"
"2410009","PILOES","085"
"2410108","POCO BRANCO","083"
"2410207","PORTALEGRE","085"
"2410306","PRESIDENTE JUSCELINO","088"
"2410405","PUREZA","083"
"2410504","RAFAEL FERNANDES","085"
"2410603","RAFAEL GODEIRO","085"
"2410702","RIACHO DA CRUZ","085"
"2410801","RIACHO DE SANTANA","085"
"2410900","RIACHUELO","088"
"2411007","RODOLFO FERNANDES","085"
"2411106","RUY BARBOSA","087"
"2411205","SANTA CRUZ","087"
"2411403","SANTANA DO MATOS","082"
"2411429","SANTANA DO SERIDO","086"
"2411502","SANTO ANTONIO","088"
"2411601","SAO BENTO DO NORTE","080"
"2411700","SAO BENTO DO TRAIRI","087"
"2411809","SAO FERNANDO","086"
"2411908","SAO FRANCISCO DO OESTE","085"
"2412005","SAO GONCALO DO AMARANTE","084"
"2412104","SAO JOAO DO SABUGI","086"
"2412203","SAO JOSE DE MIPIBU","084"
"2412302","SAO JOSE DO CAMPESTRE","087"
"2412401","SAO JOSE DO SERIDO","086"
"2412500","SAO MIGUEL","085"
"2412609","SAO PAULO DO POTENGI","088"
"2412708","SAO PEDRO","088"
"2412807","SAO RAFAEL","081"
"2412906","SAO TOME","087"
"2413003","SAO VICENTE","086"
"2413102","SENADOR ELOI DE SOUZA","088"
"2413201","SENADOR GEORGINO AVELINO","084"
"2413300","SERRA DE SAO BENTO","087"
"2413359","SERRA DO MEL","079"
"2413409","SERRA NEGRA DO NORTE","086"
"2413508","SERRINHA","088"
"2413607","SEVERIANO MELO","081"
"2413706","SITIO NOVO","087"
"2413805","TABOLEIRO GRANDE","085"
"2413904","TAIPU","083"
"2414001","TANGARA","087"
"2414100","TENENTE ANANIAS","085"
"2414209","TIBAU DO SUL","084"
"2414308","TIMBAUBA DOS BATISTAS","086"
"2414407","TOUROS","080"
"2414506","UMARIZAL","085"
"2414605","UPANEMA","081"
"2414704","VARZEA","088"
"2414803","VERA CRUZ","088"
"2414902","VICOSA","085"
"2415008","VILA FLOR","084"
"2500000","PARAIBA - IGNORADO",""
"2500106","AGUA BRANCA","100"
"2500205","AGUIAR","095"
"2500304","ALAGOA GRANDE","092"
"2500403","ALAGOA NOVA","098"
"2500502","ALAGOINHA","092"
"2500601","ALHANDRA","093"
"2500700","SAO JOAO DO RIO DO PEIXE","094"
"2500809","ARACAGI","092"
"2500908","ARARA","098"
"2501005","ARARUNA","091"
"2501104","AREIA","098"
"2501203","AREIAL","097"
"2501302","AROEIRAS","096"
"2501401","BAIA DA TRAICAO","093"
"2501500","BANANEIRAS","098"
"2501609","BARRA DE SANTA ROSA","091"
"2501708","BARRA DE SAO MIGUEL","096"
"2501807","BAYEUX","093"
"2501906","BELEM","092"
"2502003","BELEM DO BREJO DO CRUZ","089"
"2502102","BOA VENTURA","094"
"2502201","BOM JESUS","094"
"2502300","BOM SUCESSO","089"
"2502409","BONITO DE SANTA FE","094"
"2502508","BOQUEIRAO","096"
"2502607","IGARACY","095"
"2502706","BORBOREMA","098"
"2502805","BREJO DO CRUZ","089"
"2502904","BREJO DOS SANTOS","089"
"2503001","CAAPORA","093"
"2503100","CABACEIRAS","096"
"2503209","CABEDELO","093"
"2503308","CACHOEIRA DOS INDIOS","094"
"2503407","CACIMBA DE AREIA","095"
"2503506","CACIMBA DE DENTRO","091"
"2503605","CAICARA","092"
"2503704","CAJAZEIRAS","094"
"2503803","CALDAS BRANDAO","099"
"2503902","CAMALAU","096"
"2504009","CAMPINA GRANDE","097"
"2504108","CARRAPATEIRA","097"
"2504207","CATINGUEIRA","095"
"2504306","CATOLE DO ROCHA","089"
"2504405","CONCEICAO","094"
"2504504","CONDADO","095"
"2504603","CONDE","093"
"2504702","CONGO","096"
"2504801","COREMAS","095"
"2504900","CRUZ DO ESPIRITO SANTO","093"
"2505006","CUBATI","090"
"2505105","CUITE","091"
"2505204","CUITEGI","092"
"2505303","CURRAL VELHO","094"
"2505402","DESTERRO","100"
"2505501","VISTA SERRANA","095"
"2505600","DIAMANTE","094"
"2505709","DONA INES","091"
"2505808","DUAS ESTRADAS","092"
"2505907","EMAS","095"
"2506004","ESPERANCA","097"
"2506103","FAGUNDES","097"
"2506202","FREI MARTINHO","090"
"2506301","GUARABIRA","092"
"2506400","GURINHEM","092"
"2506509","GURJAO","096"
"2506608","IBIARA","094"
"2506707","IMACULADA","100"
"2506806","INGA","092"
"2506905","ITABAIANA","099"
"2507002","ITAPORANGA","095"
"2507101","ITAPOROROCA","093"
"2507200","ITATUBA","092"
"2507309","JACARAU","093"
"2507408","JERICO","089"
"2507507","JOAO PESSOA","093"
"2507606","JUAREZ TAVORA","092"
"2507705","JUAZEIRINHO","090"
"2507804","JUNCO DO SERIDO","095"
"2507903","JURIPIRANGA","099"
"2508000","JURU","100"
"2508109","LAGOA","095"
"2508208","LAGOA DE DENTRO","092"
"2508307","LAGOA SECA","097"
"2508406","LASTRO","095"
"2508505","LIVRAMENTO","096"
"2508604","LUCENA","093"
"2508703","MAE D'AGUA","100"
"2508802","MALTA","095"
"2508901","MAMANGUAPE","093"
"2509008","MANAIRA","100"
"2509107","MARI","099"
"2509206","MASSARANDUBA","097"
"2509305","MATARACA","093"
"2509404","MOGEIRO","099"
"2509503","MONTADAS","097"
"2509602","MONTE HOREBE","094"
"2509701","MONTEIRO","096"
"2509800","MULUNGU","092"
"2509909","NATUBA","096"
"2510006","NAZAREZINHO","095"
"2510105","NOVA FLORESTA","091"
"2510204","NOVA OLINDA","095"
"2510303","NOVA PALMEIRA","090"
"2510402","OLHO D'AGUA","095"
"2510501","OLIVEDOS","096"
"2510600","OURO VELHO","096"
"2510709","PASSAGEM","095"
"2510808","PATOS","095"
"2510907","PAULISTA","095"
"2511004","PEDRA BRANCA","094"
"2511103","PEDRA LAVRADA","090"
"2511202","PEDRAS DE FOGO","093"
"2511301","PIANCO","095"
"2511400","PICUI","090"
"2511509","PILAR","099"
"2511608","PILOES","098"
"2511707","PILOEZINHOS","092"
"2511806","PIRPIRITUBA","098"
"2511905","PITIMBU","093"
"2512002","POCINHOS","097"
"2512101","POMBAL","095"
"2512200","PRATA","096"
"2512309","PRINCESA ISABEL","100"
"2512408","PUXINANA","097"
"2512507","QUEIMADAS","097"
"2512606","QUIXABA","095"
"2512705","REMIGIO","097"
"2512804","RIACHO DOS CAVALOS","089"
"2512903","RIO TINTO","093"
"2513000","SALGADINHO","095"
"2513109","SALGADO DE SAO FELIX","099"
"2513208","SANTA CRUZ","095"
"2513307","SANTA HELENA","094"
"2513406","SANTA LUZIA","095"
"2513505","SANTANA DE MANGUEIRA","094"
"2513604","SANTANA DOS GARROTES","095"
"2513703","SANTA RITA","093"
"2513802","SANTA TERESINHA","095"
"2513901","SAO BENTO","089"
"2514008","SAO JOAO DO CARIRI","096"
"2514107","SAO JOAO DO TIGRE","096"
"2514206","SAO JOSE DA LAGOA TAPADA","095"
"2514305","SAO JOSE DE CAIANA","094"
"2514404","SAO JOSE DE ESPINHARAS","095"
"2514503","SAO JOSE DE PIRANHAS","094"
"2514602","SAO JOSE DO BONFIM","095"
"2514701","SAO JOSE DO SABUGI","095"
"2514800","SAO JOSE DOS CORDEIROS","096"
"2514909","SAO MAMEDE","095"
"2515005","SAO MIGUEL DE TAIPU","099"
"2515104","SAO SEBASTIAO DE LAGOA DE ROCA","098"
"2515203","SAO SEBASTIAO DO UMBUZEIRO","096"
"2515302","SAPE","099"
"2515401","SERIDO","090"
"2515500","SERRA BRANCA","096"
"2515609","SERRA DA RAIZ","092"
"2515708","SERRA GRANDE","094"
"2515807","SERRA REDONDA","092"
"2515906","SERRARIA","098"
"2516003","SOLANEA","097"
"2516102","SOLEDADE","096"
"2516201","SOUSA","095"
"2516300","SUME","096"
"2516409","TACIMA","096"
"2516508","TAPEROA","096"
"2516607","TAVARES","100"
"2516706","TEIXEIRA","100"
"2516805","TRIUNFO","094"
"2516904","UIRAUNA","094"
"2517001","UMBUZEIRO","096"
"2517100","VARZEA","095"
"2600000","PERNAMBUCO - IGNORADO",""
"2600054","ABREU E LIMA","111"
"2600104","AFOGADOS DA INGAZEIRA","104"
"2600203","AFRANIO","103"
"2600302","AGRESTINA","109"
"2600401","AGUA PRETA","112"
"2600500","AGUAS BELAS","106"
"2600609","ALAGOINHA","108"
"2600708","ALIANCA","110"
"2600807","ALTINHO","109"
"2600906","AMARAJI","112"
"2601003","ANGELIM","109"
"2601102","ARARIPINA","101"
"2601201","ARCOVERDE","106"
"2601300","BARRA DE GUABIRABA","109"
"2601409","BARREIROS","112"
"2601508","BELEM DE MARIA","112"
"2601607","BELEM DE SAO FRANCISCO","103"
"2601706","BELO JARDIM","108"
"2601805","BETANIA","105"
"2601904","BEZERROS","108"
"2602001","BODOCO","101"
"2602100","BOM CONSELHO","109"
"2602209","BOM JARDIM","107"
"2602308","BONITO","109"
"2602407","BREJAO","109"
"2602506","BREJINHO","104"
"2602605","BREJO DA MADRE DE DEUS","108"
"2602704","BUENOS AIRES","110"
"2602803","BUIQUE","106"
"2602902","CABO DE SANTO AGOSTINHO","111"
"2603009","CABROBO","103"
"2603108","CACHOEIRINHA","108"
"2603207","CAETES","109"
"2603306","CALCADO","109"
"2603405","CALUMBI","104"
"2603454","CAMARAGIBE","111"
"2603504","CAMOCIM DE SAO FELIX","109"
"2603603","CAMUTANGA","110"
"2603702","CANHOTINHO","109"
"2603801","CAPOEIRAS","108"
"2603900","CARNAIBA","104"
"2603926","CARNAUBEIRA DA PENHA",""
"2604007","CARPINA","110"
"2604106","CARUARU","108"
"2604205","CATENDE","112"
"2604304","CEDRO","102"
"2604403","CHA DE ALEGRIA","110"
"2604502","CHA GRANDE","107"
"2604601","CONDADO","110"
"2604700","CORRENTES","109"
"2604809","CORTES","112"
"2604908","CUMARU","107"
"2605004","CUPIRA","109"
"2605103","CUSTODIA","105"
"2605152","DORMENTES",""
"2605202","ESCADA","112"
"2605301","EXU","101"
"2605400","FEIRA NOVA","107"
"2605459","FERNANDO DE NORONHA (DISTRITO ESTADUAL)","122"
"2605509","FERREIROS","110"
"2605608","FLORES","104"
"2605707","FLORESTA","103"
"2605806","FREI MIGUELINHO","107"
"2605905","GAMELEIRA","112"
"2606002","GARANHUNS","109"
"2606101","GLORIA DO GOITA","107"
"2606200","GOIANA","110"
"2606309","GRANITO","101"
"2606408","GRAVATA","108"
"2606507","IATI","109"
"2606606","IBIMIRIM","105"
"2606705","IBIRAJUBA","109"
"2606804","IGARASSU","110"
"2606903","IGUARACI","104"
"2607000","INAJA","105"
"2607109","INGAZEIRA","104"
"2607208","IPOJUCA","112"
"2607307","IPUBI","101"
"2607406","ITACURUBA","103"
"2607505","ITAIBA","106"
"2607604","ITAMARACA","110"
"2607653","ITAMBE","110"
"2607703","ITAPETIM","104"
"2607752","ITAPISSUMA","110"
"2607802","ITAQUITINGA","110"
"2607901","JABOATAO DOS GUARARAPES","111"
"2608008","JATAUBA","108"
"2608107","JOAO ALFREDO","107"
"2608206","JOAQUIM NABUCO","112"
"2608255","JUCATI",""
"2608305","JUPI","109"
"2608404","JUREMA","109"
"2608453","LAGOA DO CARRO",""
"2608503","LAGOA DO ITAENGA","110"
"2608602","LAGOA DO OURO","109"
"2608701","LAGOA DOS GATOS","109"
"2608800","LAJEDO","109"
"2608909","LIMOEIRO","107"
"2609006","MACAPARANA","110"
"2609105","MACHADOS","107"
"2609204","MARAIAL","112"
"2609303","MIRANDIBA","102"
"2609402","MORENO","111"
"2609501","NAZARE DA MATA","110"
"2609600","OLINDA","111"
"2609709","OROBO","107"
"2609808","OROCO","103"
"2609907","OURICURI","101"
"2610004","PALMARES","112"
"2610103","PALMEIRINA","109"
"2610202","PANELAS","109"
"2610301","PARANATAMA","109"
"2610400","PARNAMIRIM","102"
"2610509","PASSIRA","107"
"2610608","PAUDALHO","110"
"2610707","PAULISTA","111"
"2610806","PEDRA","106"
"2610905","PESQUEIRA","108"
"2611002","PETROLANDIA","103"
"2611101","PETROLINA","103"
"2611200","POCAO","108"
"2611309","POMBOS","107"
"2611408","PRIMAVERA","112"
"2611507","QUIPAPA","112"
"2611533","QUIXABA",""
"2611606","RECIFE","111"
"2611705","RIACHO DAS ALMAS","108"
"2611804","RIBEIRAO","112"
"2611903","RIO FORMOSO","112"
"2612000","SAIRE","109"
"2612109","SALGADINHO","107"
"2612208","SALGUEIRO","102"
"2612307","SALOA","109"
"2612406","SANHARO","108"
"2612455","SANTA CRUZ",""
"2612471","SANTA CRUZ DA BAIXA VERDE",""
"2612505","SANTA CRUZ DO CAPIBARIBE","108"
"2612604","SANTA MARIA DA BOA VISTA","103"
"2612703","SANTA MARIA DO CAMBUCA","107"
"2612802","SANTA TEREZINHA","104"
"2612901","SAO BENEDITO DO SUL","112"
"2613008","SAO BENTO DO UNA","108"
"2613107","SAO CAITANO","108"
"2613206","SAO JOAO","109"
"2613305","SAO JOAQUIM DO MONTE","109"
"2613404","SAO JOSE DA COROA GRANDE","112"
"2613503","SAO JOSE DO BELMONTE","102"
"2613602","SAO JOSE DO EGITO","104"
"2613701","SAO LOURENCO DA MATA","111"
"2613800","SAO VICENTE FERRER","107"
"2613909","SERRA TALHADA","104"
"2614006","SERRITA","102"
"2614105","SERTANIA","105"
"2614204","SIRINHAEM","112"
"2614303","MOREILANDIA","101"
"2614402","SOLIDAO","104"
"2614501","SURUBIM","107"
"2614600","TABIRA","104"
"2614709","TACAIMBO","108"
"2614808","TACARATU","105"
"2615003","TAQUARITINGA DO NORTE","107"
"2615102","TEREZINHA","109"
"2615201","TERRA NOVA","102"
"2615300","TIMBAUBA","110"
"2615409","TORITAMA","107"
"2615508","TRACUNHAEM","110"
"2615607","TRINDADE","101"
"2615706","TRIUNFO","104"
"2615805","TUPANATINGA","106"
"2615904","TUPARETAMA","104"
"2616001","VENTUROSA","106"
"2616100","VERDEJANTE","102"
"2616183","VERTENTE DO LERIO",""
"2616209","VERTENTES","107"
"2616308","VICENCIA","110"
"2616407","VITORIA DE SANTO ANTAO","112"
"2616506","XEXEU",""
"2700000","ALAGOAS - IGNORADO",""
"2700102","AGUA BRANCA","113"
"2700201","ANADIA","118"
"2700300","ARAPIRACA","118"
"2700409","ATALAIA","116"
"2700508","BARRA DE SANTO ANTONIO","117"
"2700607","BARRA DE SAO MIGUEL","119"
"2700706","BATALHA","114"
"2700805","BELEM","115"
"2700904","BELO MONTE","114"
"2701001","BOCA DA MATA","119"
"2701100","BRANQUINHA","116"
"2701209","CACIMBINHAS","115"
"2701308","CAJUEIRO","116"
"2701407","CAMPO ALEGRE","119"
"2701506","CAMPO GRANDE","118"
"2701605","CANAPI","113"
"2701704","CAPELA","116"
"2701803","CARNEIROS","114"
"2701902","CHA PRETA","116"
"2702009","COITE DO NOIA","118"
"2702108","COLONIA LEOPOLDINA","116"
"2702207","COQUEIRO SECO","120"
"2702306","CORURIPE","119"
"2702355","CRAIBAS","118"
"2702405","DELMIRO GOUVEIA","113"
"2702504","DOIS RIACHOS","114"
"2702553","ESTRELA DE ALAGOAS",""
"2702603","FEIRA GRANDE","118"
"2702702","FELIZ DESERTO","121"
"2702801","FLEXEIRAS","116"
"2702900","GIRAU DO PONCIANO","118"
"2703007","IBATEGUARA","116"
"2703106","IGACI","115"
"2703205","IGREJA NOVA","121"
"2703304","INHAPI","113"
"2703403","JACARE DOS HOMENS","114"
"2703502","JACUIPE","116"
"2703601","JAPARATINGA","117"
"2703700","JARAMATAIA","114"
"2703809","JOAQUIM GOMES","116"
"2703908","JUNDIA","116"
"2704005","JUNQUEIRO","118"
"2704104","LAGOA DA CANOA","118"
"2704203","LIMOEIRO DE ANADIA","118"
"2704302","MACEIO","120"
"2704401","MAJOR ISIDORO","114"
"2704500","MARAGOGI","117"
"2704609","MARAVILHA","114"
"2704708","MARECHAL DEODORO","120"
"2704807","MARIBONDO","115"
"2704906","MAR VERMELHO","115"
"2705002","MATA GRANDE","113"
"2705101","MATRIZ DE CAMARAGIBE","117"
"2705200","MESSIAS","116"
"2705309","MINADOR DO NEGRAO","115"
"2705408","MONTEIROPOLIS","114"
"2705507","MURICI","116"
"2705606","NOVO LINO","116"
"2705705","OLHO D'AGUA DAS FLORES","114"
"2705804","OLHO D'AGUA DO CASADO","113"
"2705903","OLHO D'AGUA GRANDE","118"
"2706000","OLIVENCA","114"
"2706109","OURO BRANCO","114"
"2706208","PALESTINA","114"
"2706307","PALMEIRA DOS INDIOS","115"
"2706406","PAO DE ACUCAR","114"
"2706422","PARICONHA",""
"2706448","PARIPUEIRA",""
"2706505","PASSO DE CAMARAGIBE","117"
"2706604","PAULO JACINTO","115"
"2706703","PENEDO","121"
"2706802","PIACABUCU","121"
"2706901","PILAR","120"
"2707008","PINDOBA","116"
"2707107","PIRANHAS","113"
"2707206","POCO DAS TRINCHEIRAS","114"
"2707305","PORTO CALVO","117"
"2707404","PORTO DE PEDRAS","117"
"2707503","PORTO REAL DO COLEGIO","121"
"2707602","QUEBRANGULO","115"
"2707701","RIO LARGO","120"
"2707800","ROTEIRO","119"
"2707909","SANTA LUZIA DO NORTE","120"
"2708006","SANTANA DO IPANEMA","114"
"2708105","SANTANA DO MUNDAU","116"
"2708204","SAO BRAS","118"
"2708303","SAO JOSE DA LAJE","116"
"2708402","SAO JOSE DA TAPERA","114"
"2708501","SAO LUIS DO QUITUNDE","117"
"2708600","SAO MIGUEL DOS CAMPOS","119"
"2708709","SAO MIGUEL DOS MILAGRES","117"
"2708808","SAO SEBASTIAO","118"
"2708907","SATUBA","120"
"2708956","SENADOR RUI PALMEIRA","114"
"2709004","TANQUE D'ARCA","115"
"2709103","TAQUARANA","118"
"2709152","TEOTONIO VILELA","118"
"2709202","TRAIPU","118"
"2709301","UNIAO DOS PALMARES","116"
"2709400","VICOSA","116"
"2800000","SERGIPE - IGNORADO",""
"2800100","AMPARO DE SAO FRANCISCO","124"
"2800209","AQUIDABA","125"
"2800308","ARACAJU","129"
"2800407","ARAUA","128"
"2800506","AREIA BRANCA","127"
"2800605","BARRA DOS COQUEIROS","129"
"2800670","BOQUIM","128"
"2800704","BREJO GRANDE","124"
"2801009","CAMPO DO BRITO","127"
"2801108","CANHOBA","124"
"2801207","CANINDE DE SAO FRANCISCO","123"
"2801306","CAPELA","126"
"2801405","CARIRA","125"
"2801504","CARMOPOLIS","126"
"2801603","CEDRO DE SAO JOAO","125"
"2801702","CRISTINAPOLIS","130"
"2801900","CUMBE","125"
"2802007","DIVINA PASTORA","126"
"2802106","ESTANCIA","129"
"2802205","FEIRA NOVA","125"
"2802304","FREI PAULO","125"
"2802403","GARARU","123"
"2802502","GENERAL MAYNARD","126"
"2802601","GRACHO CARDOSO","125"
"2802700","ILHA DAS FLORES","124"
"2802809","INDIAROBA","129"
"2802908","ITABAIANA","127"
"2803005","ITABAIANINHA","128"
"2803104","ITABI","125"
"2803203","ITAPORANGA D'AJUDA","129"
"2803302","JAPARATUBA","126"
"2803401","JAPOATA","125"
"2803500","LAGARTO","128"
"2803609","LARANJEIRAS","126"
"2803708","MACAMBIRA","127"
"2803807","MALHADA DOS BOIS","125"
"2803906","MALHADOR","127"
"2804003","MARUIM","126"
"2804102","MOITA BONITA","127"
"2804201","MONTE ALEGRE DE SERGIPE","123"
"2804300","MURIBECA","125"
"2804409","NEOPOLIS","124"
"2804458","NOSSA SENHORA APARECIDA","125"
"2804508","NOSSA SENHORA DA GLORIA","123"
"2804607","NOSSA SENHORA DAS DORES","125"
"2804706","NOSSA SENHORA DE LOURDES","124"
"2804805","NOSSA SENHORA DO SOCORRO","129"
"2804904","PACATUBA","124"
"2805000","PEDRA MOLE","125"
"2805109","PEDRINHAS","128"
"2805208","PINHAO","125"
"2805307","PIRAMBU","126"
"2805406","POCO REDONDO","123"
"2805505","POCO VERDE","130"
"2805604","PORTO DA FOLHA","123"
"2805703","PROPRIA","124"
"2805802","RIACHAO DO DANTAS","128"
"2805901","RIACHUELO","126"
"2806008","RIBEIROPOLIS","125"
"2806107","ROSARIO DO CATETE","126"
"2806206","SALGADO","128"
"2806305","SANTA LUZIA DO ITANHY","129"
"2806404","SANTANA DO SAO FRANCISCO",""
"2806503","SANTA ROSA DE LIMA","126"
"2806602","SANTO AMARO DAS BROTAS","126"
"2806701","SAO CRISTOVAO","129"
"2806800","SAO DOMINGOS","127"
"2806909","SAO FRANCISCO","125"
